                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5574,                0.90143,                 1.2013,                0.58482,                0.13978,                0.15766,                0.07164,                 2.8965,                 4.5485,                 2.7261,             0.00092402,             0.00092402,             0.00092402
                     36,                 1.5386,                0.88816,                 1.2005,                0.51268,                0.14337,                0.12503,                0.05049,                 2.6565,                 4.8557,                 2.4272,             0.00091852,             0.00091852,             0.00091852
                     37,                 1.5727,                0.88803,                 1.2082,                0.50181,                0.14695,                0.11002,                0.03765,                 2.9196,                 4.6559,                 2.8049,             0.00091302,             0.00091302,             0.00091302
                     38,                 1.5668,                0.90474,                 1.2054,                0.53905,                0.14695,                 0.1373,                 0.0527,                 2.9547,                 4.7218,                 2.8961,             0.00090752,             0.00090752,             0.00090752
                     39,                 1.5413,                0.86614,                 1.2009,                0.50235,                0.14337,                0.09937,                0.04081,                 2.7649,                 4.8599,                 2.4947,             0.00090202,             0.00090202,             0.00090202
                     40,                 1.5127,                0.86428,                 1.1875,                0.95111,                 0.1362,                0.16313,                0.06477,                 3.0307,                 4.7721,                 3.0502,             0.00089652,             0.00089652,             0.00089652
                     41,                 1.5427,                0.86626,                 1.1952,                0.53704,                0.13978,                0.14072,                0.05475,                 2.9276,                 4.5928,                 2.7731,             0.00089102,             0.00089102,             0.00089102
                     42,                 1.5186,                0.85125,                 1.1916,                0.50223,                0.12518,                0.09481,                0.03932,                 2.7098,                 4.1994,                 2.5594,             0.00088552,             0.00088552,             0.00088552
                     43,                 1.5288,                0.83975,                 1.1921,                  0.519,                0.15054,                 0.1654,                0.05752,                 2.8743,                 4.7078,                 2.6892,             0.00088002,             0.00088002,             0.00088002
                     44,                 1.4917,                0.84062,                  1.183,                0.89236,                0.14337,                  0.187,                  0.067,                 2.7715,                 4.2007,                 2.8135,             0.00087452,             0.00087452,             0.00087452
                     45,                 1.5104,                0.84971,                 1.1785,                0.88622,                0.13262,                0.13906,                0.05664,                 2.7847,                 4.5836,                 2.7113,             0.00086902,             0.00086902,             0.00086902
                     46,                 1.4887,                0.81051,                  1.182,                0.51048,                0.15054,                0.10559,                0.04142,                 2.8775,                 5.1321,                 2.8937,             0.00086352,             0.00086352,             0.00086352
                     47,                 1.4864,                0.81791,                 1.1738,                0.51406,                0.15706,                0.11758,                0.04545,                 2.8862,                 4.4787,                 2.9731,             0.00085803,             0.00085803,             0.00085803
                     48,                 1.4887,                0.81685,                 1.1769,                0.52876,                0.12903,                0.11855,                 0.0501,                 2.8451,                  5.078,                 2.7353,             0.00085253,             0.00085253,             0.00085253
                     49,                 1.4865,                0.80726,                   1.18,                0.54207,                0.14337,                0.12173,                0.04739,                 2.9844,                 4.6931,                 3.0671,             0.00084703,             0.00084703,             0.00084703
                     50,                 1.4902,                0.81141,                 1.1695,                0.84003,                0.13262,                0.11008,                0.04128,                 2.7864,                 4.6729,                 2.6783,             0.00084153,             0.00084153,             0.00084153
                     51,                 1.4882,                0.81093,                 1.1713,                0.52228,                0.14337,                0.12133,                 0.0547,                 2.8129,                 4.9413,                 2.7938,             0.00083603,             0.00083603,             0.00083603
